Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
FB,rand4,List,bide',0.45,e',0.20,mose',0.43,e',0.14
FB,rand4,List,gile',0.38,e',0.18,toto',0.41,o',0.14
FB,rand4,List,pipi',0.43,i',0.16,gile',0.37,e',0.15
FB,rand4,List,casa,0.48,a,0.13,mali,0.45,i,0.14
FB,rand4,List,tate,0.53,e,0.14,para',0.37,a',0.14
FB,rand4,List,baro,0.45,o,0.13,tana,0.40,a,0.09
FB,rand4,List,ramo,0.51,o,0.12,como',0.33,o',0.09
FB,rand4,List,kali',0.39,i',0.14,kepi',0.42,i',0.13
FB,rand4,List,nana',0.39,a',0.17,bepi,0.48,i,0.09
FB,rand4,List,palo,0.53,o,0.13,tate,0.52,e,0.16
FB,rand4,List,tito,0.51,o,0.14,remi,0.39,i,0.10
FB,rand4,List,como',0.43,o',0.18,pupi,0.45,i,0.12
FB,rand4,List,falo',0.49,o',0.18,tito,0.45,o,0.12
FB,rand4,List,bara,0.56,a,0.18,cile,0.46,e,0.14
FB,rand4,List,sofa',0.52,a',0.17,bara,0.46,a,0.10
FB,rand4,List,meta',0.43,a',0.17,case,0.51,e,0.13
FC,rand2,List,casa,0.39,a,0.05,mali,0.42,i,0.13
FC,rand2,List,gile',0.31,e',0.14,toto',0.35,o',0.12
FC,rand2,List,pupi,0.38,i,0.07,mimi',0.31,i',0.09
FC,rand2,List,nana',0.30,a',0.14,bepi,0.42,i,0.11
FC,rand2,List,meta',0.34,a',0.14,case,0.43,e,0.08
FC,rand2,List,pate',0.37,e',0.13,kali',0.34,i',0.13
FC,rand2,List,palo,0.41,o,0.09,tate,0.43,e,0.12
FC,rand2,List,tate,0.41,e,0.10,para',0.33,a',0.11
FC,rand2,List,tana,0.39,a,0.10,falo',0.35,o',0.12
FC,rand2,List,bara,0.40,a,0.12,cile,0.41,e,0.11
FC,rand2,List,baro,0.43,o,0.13,tana,0.40,a,0.09
FC,rand2,List,toto',0.37,o',0.14,bide',0.35,e',0.14
FC,rand2,List,mimi',0.36,i',0.14,meta',0.34,a',0.11
FC,rand2,List,rita,0.34,a,0.10,ramo,0.36,o,0.09
FC,rand2,List,como',0.36,o',0.13,pupi,0.41,i,0.10
FC,rand2,List,tito,0.43,o,0.10,remi,0.36,i,0.09
FC,rand2,List,kepi',0.40,i',0.15,maro',0.36,o',0.14
FC,rand2,List,remi,0.34,i,0.09,nana',0.31,a',0.12
FC,rand2,List,falo',0.46,o',0.18,tito,0.46,o,0.10
FC,rand2,List,cile,0.43,e,0.09,pipi',0.36,i',0.10
FC,rand2,List,mose',0.45,e',0.16,casa,0.48,a,0.12
FC,rand2,List,pipi',0.38,i',0.13,gile',0.32,e',0.13
FC,rand2,List,case,0.44,e,0.08,sede,0.44,e,0.12
FC,rand2,List,para',0.34,a',0.15,pate',0.38,e',0.14
FC,rand2,List,bide',0.36,e',0.14,mose',0.37,e',0.12
FC,rand2,List,kali',0.37,i',0.16,kepi',0.39,i',0.14
FC,rand2,List,sede,0.40,e,0.09,sofa',0.44,a',0.15
FC,rand2,List,maro',0.29,o',0.12,rita,0.33,a,0.09
FC,rand2,List,bepi,0.43,i,0.11,palo,0.40,o,0.09
